time	V(min_es)	V(n001)	Ix(D1:-)
8.025299981970874e-008	4.094406e+000	7.299965e+000	3.334447e+000
8.527532124828015e-008	4.095895e+000	7.118241e+000	2.957880e+000
8.904206231970872e-008	4.096973e+000	6.995018e+000	2.702749e+000
9.280880339113728e-008	4.098016e+000	6.880494e+000	2.465807e+000
9.657554446256585e-008	4.099024e+000	6.774669e+000	2.247054e+000
1.003422855339944e-007	4.099997e+000	6.677544e+000	2.046490e+000
1.041090266054230e-007	4.100935e+000	6.589118e+000	1.864116e+000
1.078757676768515e-007	4.101839e+000	6.509392e+000	1.699931e+000
1.116425087482801e-007	4.102707e+000	6.438365e+000	1.553935e+000
1.152697408911372e-007	4.103522e+000	6.375119e+000	1.424115e+000
1.188969730339944e-007	4.104320e+000	6.316196e+000	1.303331e+000
1.225242051768515e-007	4.105100e+000	6.261595e+000	1.191583e+000
1.261514373197086e-007	4.105863e+000	6.211315e+000	1.088870e+000
1.297786694625658e-007	4.106609e+000	6.165357e+000	9.951924e-001
1.334059016054229e-007	4.107336e+000	6.123721e+000	9.105505e-001
1.370331337482800e-007	4.108047e+000	6.086407e+000	8.349442e-001
1.406603658911372e-007	4.108745e+000	6.051856e+000	7.651162e-001
1.442875980339943e-007	4.109434e+000	6.019632e+000	7.001509e-001
1.479148301768514e-007	4.110114e+000	5.989733e+000	6.400483e-001
1.515420623197085e-007	4.110783e+000	5.962160e+000	5.848083e-001
1.551692944625657e-007	4.111443e+000	5.936912e+000	5.344309e-001
1.587965266054228e-007	4.112094e+000	5.913990e+000	4.889162e-001
1.624237587482799e-007	4.112734e+000	5.893394e+000	4.482642e-001
1.660509908911371e-007	4.113368e+000	5.874283e+000	4.107168e-001
1.696782230339942e-007	4.113997e+000	5.856423e+000	3.757844e-001
1.733054551768513e-007	4.114620e+000	5.839813e+000	3.434669e-001
1.769326873197085e-007	4.115238e+000	5.824453e+000	3.137642e-001
1.805599194625656e-007	4.115850e+000	5.810343e+000	2.866765e-001
1.841871516054228e-007	4.116457e+000	5.797484e+000	2.622036e-001
1.878143837482799e-007	4.117058e+000	5.785875e+000	2.403457e-001
1.914416158911370e-007	4.117655e+000	5.775065e+000	2.201570e-001
1.950688480339942e-007	4.118249e+000	5.764926e+000	2.013745e-001
1.986960801768513e-007	4.118840e+000	5.755459e+000	1.839979e-001
2.023233123197084e-007	4.119427e+000	5.746663e+000	1.680275e-001
2.059505444625655e-007	4.120011e+000	5.738540e+000	1.534630e-001
2.095777766054227e-007	4.120592e+000	5.731087e+000	1.403047e-001
2.132050087482798e-007	4.121170e+000	5.724307e+000	1.285524e-001
2.168322408911369e-007	4.121746e+000	5.717955e+000	1.176977e-001
2.204594730339941e-007	4.122319e+000	5.711963e+000	1.075990e-001
2.240867051768512e-007	4.122891e+000	5.706331e+000	9.825638e-002
2.277139373197083e-007	4.123460e+000	5.701059e+000	8.966980e-002
2.313411694625655e-007	4.124028e+000	5.696147e+000	8.183927e-002
2.349684016054226e-007	4.124593e+000	5.691596e+000	7.476478e-002
2.385956337482797e-007	4.125156e+000	5.687405e+000	6.844635e-002
2.422228658911370e-007	4.125718e+000	5.683442e+000	6.261055e-002
2.458500980339942e-007	4.126278e+000	5.679671e+000	5.718128e-002
2.494773301768514e-007	4.126837e+000	5.676091e+000	5.215855e-002
2.531045623197087e-007	4.127395e+000	5.672703e+000	4.754236e-002
2.567317944625659e-007	4.127951e+000	5.669506e+000	4.333270e-002
2.603590266054231e-007	4.128506e+000	5.666501e+000	3.952957e-002
2.639862587482803e-007	4.129059e+000	5.663687e+000	3.613298e-002
2.676134908911376e-007	4.129612e+000	5.660994e+000	3.299592e-002
2.712407230339948e-007	4.130163e+000	5.658399e+000	3.007746e-002
2.748679551768520e-007	4.130713e+000	5.655903e+000	2.737760e-002
2.784951873197093e-007	4.131262e+000	5.653507e+000	2.489636e-002
2.821224194625665e-007	4.131810e+000	5.651208e+000	2.263372e-002
2.857496516054237e-007	4.132357e+000	5.649009e+000	2.058969e-002
2.893768837482810e-007	4.132903e+000	5.646908e+000	1.876426e-002
2.928646069625668e-007	4.133427e+000	5.644944e+000	1.713875e-002
2.963523301768526e-007	4.133951e+000	5.643021e+000	1.562316e-002
2.998400533911384e-007	4.134473e+000	5.641141e+000	1.421749e-002
3.033277766054241e-007	4.134995e+000	5.639302e+000	1.292176e-002
3.068154998197100e-007	4.135516e+000	5.637505e+000	1.173595e-002
3.103032230339958e-007	4.136036e+000	5.635749e+000	1.066007e-002
3.137909462482816e-007	4.136555e+000	5.634036e+000	9.694121e-003
3.171391605339959e-007	4.137053e+000	5.632412e+000	8.833410e-003
3.204873748197103e-007	4.137550e+000	5.630793e+000	8.029165e-003
3.238355891054246e-007	4.138047e+000	5.629182e+000	7.281385e-003
3.271838033911390e-007	4.138542e+000	5.627576e+000	6.590069e-003
3.305320176768534e-007	4.139037e+000	5.625976e+000	5.955219e-003
3.338802319625678e-007	4.139532e+000	5.624383e+000	5.376834e-003
3.372284462482821e-007	4.140025e+000	5.622797e+000	4.854913e-003
3.404371516054250e-007	4.140497e+000	5.621272e+000	4.389658e-003
3.436458569625680e-007	4.140969e+000	5.619717e+000	3.954080e-003
3.468545623197109e-007	4.141440e+000	5.618131e+000	3.548181e-003
3.500632676768539e-007	4.141911e+000	5.616515e+000	3.171960e-003
3.532719730339968e-007	4.142380e+000	5.614868e+000	2.825417e-003
3.564806783911398e-007	4.142849e+000	5.613191e+000	2.508553e-003
3.596893837482827e-007	4.143318e+000	5.611483e+000	2.221367e-003
3.626190712482827e-007	4.143745e+000	5.609898e+000	1.976360e-003
3.655487587482828e-007	4.144171e+000	5.608210e+000	1.746245e-003
3.684784462482829e-007	4.144597e+000	5.606416e+000	1.531024e-003
3.714081337482830e-007	4.145022e+000	5.604517e+000	1.330696e-003
3.743378212482830e-007	4.145446e+000	5.602514e+000	1.145260e-003
